# ID        SG      RA                  Dec             zSpec       EnvDensity  SFR_IR      SFR_UV      SFR_total   lgMstar     RMS         S_nu eS_nu       M_ISM_1e10 eM_ISM_1e10    lgSFE elgSFE      f_gas ef_gas      Ref
65511       2       150.76950070        2.44000006      0.746       0.17        44.61       1.34        45.95       10.69       0.216       0.38 0.15        1.52 0.59                 -8.52 0.17        0.24 0.10        1
12957       2       149.90295410        1.98539996      0.744       0.19        21.12       1.57        22.69       10.75       0.214       0.44 0.15        1.75 0.58                 -8.89 0.14        0.24 0.08        2
2121        1       149.59567260        1.92436004      0.728       0.20        60.07       0.52        60.59       10.66       0.177       0.62 0.11        2.35 0.42                 -8.59 0.08        0.34 0.07        2
3095        1       149.64450070        1.82980001      0.738       0.23        17.89       0.48        18.37       10.80       0.174       0.44 0.10        1.67 0.39                 -8.96 0.10        0.21 0.05        2
33697       2       150.12416080        2.43136001      0.757       0.26        18.80       2.33        21.13       10.32       0.213       0.   0.53        0.   2.14                 0.   -9.01        0.   0.51        3
19710       2       150.02076720        2.42260003      0.758       0.29        46.36       3.95        50.31       10.45       0.218       0.   0.39        0.   1.58                 0.   -8.50        0.   0.36        3
59452       2       150.50376890        1.85462999      0.746       0.32        30.30       1.22        31.53       10.40       0.210       0.45 0.14        1.80 0.57                 -8.76 0.14        0.42 0.14        2
50059       1       150.28323360        2.10188007      0.724       0.33        18.87       2.18        21.05       9.85        0.167       0.   0.37        0.   1.40                 0.   -8.82        0.   0.66        3
48162       1       150.24334720        2.27336001      0.740       0.33        20.27       0.58        20.85       10.85       0.163       0.28 0.12        1.09 0.45                 -8.72 0.18        0.13 0.06        1
1576        2       149.56404110        2.23825002      0.748       0.34        28.21       1.87        30.07       10.49       0.214       0.33 0.15        1.30 0.58                 -8.64 0.19        0.30 0.14        1
22698       1       150.06425480        1.93305004      0.738       0.36        20.71       4.97        25.68       9.95        0.161       0.53 0.10        2.04 0.40                 -8.90 0.09        0.70 0.17        2
4377        1       149.69613650        2.46111989      0.732       0.39        19.33       2.80        22.13       9.80        0.176       0.   0.43        0.   1.62                 0.   -8.86        0.   0.72        3
13692       1       149.91577150        1.67797005      0.740       0.40        32.25       0.22        32.47       10.70       0.173       0.60 0.12        2.29 0.44                 -8.85 0.08        0.31 0.07        1
30358       2       150.10627750        1.70779002      0.745       0.41        22.89       1.36        24.24       10.59       0.211       0.37 0.14        1.49 0.57                 -8.79 0.17        0.28 0.11        1
2331        1       149.60787960        2.60363007      0.738       0.41        57.72       2.62        60.34       10.56       0.180       0.   0.40        0.   1.52                 0.   -8.40        0.   0.30        3
55106       2       150.38865660        2.31001997      0.744       0.42        28.94       0.93        29.87       9.83        0.215       0.56 0.15        2.23 0.60                 -8.87 0.12        0.77 0.26        2
38620       1       150.14944460        1.92332006      0.731       0.43        17.60       1.87        19.46       10.40       0.166       0.   0.36        0.   1.37                 0.   -8.85        0.   0.35        3
15068       2       149.94177250        2.39576006      0.758       0.43        74.73       2.37        77.10       10.94       0.230       0.61 0.18        2.45 0.72                 -8.50 0.13        0.22 0.07        1
31543       2       150.11227420        2.38735008      0.757       0.44        33.06       1.12        34.19       10.25       0.216       0.48 0.13        1.92 0.54                 -8.75 0.12        0.52 0.16        2
3358        2       149.65591430        1.92480004      0.748       0.45        25.40       6.15        31.55       9.96        0.211       0.   0.42        0.   1.68                 0.   -8.73        0.   0.65        3
3972        1       149.68240360        2.19365001      0.734       0.46        22.90       1.38        24.27       10.41       0.186       0.   0.41        0.   1.57                 0.   -8.81        0.   0.38        3
32787       2       150.11898800        2.32452011      0.756       0.48        25.56       0.00        25.56       11.05       0.203       0.50 0.14        2.00 0.55                 -8.89 0.12        0.15 0.04        2
16555       1       149.96690370        1.69801998      0.737       0.50        26.38       0.87        27.25       10.56       0.164       0.33 0.10        1.25 0.37                 -8.66 0.13        0.26 0.08        2
57520       1       150.45071410        2.01388001      0.729       0.51        18.03       4.16        22.19       10.49       0.161       0.   0.35        0.   1.32                 0.   -8.77        0.   0.30        3
44291       1       150.18431090        2.42952991      0.739       0.54        19.96       1.53        21.49       9.97        0.162       0.   0.35        0.   1.33                 0.   -8.79        0.   0.59        3
54987       1       150.38655090        1.72935998      0.736       0.56        17.87       2.20        20.07       10.65       0.165       0.37 0.10        1.41 0.39                 -8.85 0.12        0.24 0.07        2
