# ID  RA  Dec z     Mstar         SFR     sSFR      deltaMS1   deltaMS2   deltaMS3    deltaMS4    deltaGas  cosmoAge Source            Survey_or_Galaxy_Type Method Survey_Number
  443 0.0 0.0 0.502 3.16227994E10 7.94328 0.251189  -0.0414374 -0.0429951 -0.101968   0.116461    0.199526  8.39609  G3-7652           PHIBSS2               CO     2            
  444 0.0 0.0 0.502 5.0118701E10  3.98107 0.0794329 -0.465778  -0.500995  -0.477603   -0.383539   0.158489  8.39609  838945/COS3-30967 PHIBSS2               CO     2            
  445 0.0 0.0 0.502 1.25893001E11 19.9526 0.158489  -0.0144586 -0.116995  0.143126    -0.0835395  0.251188  8.39609  834187            PHIBSS2               CO     2            
  446 0.0 0.0 0.502 1.58488996E10 31.6228 1.99526   0.745073   0.794005   0.656486    1.01646     1.25893   8.39609  831870/COS3-12455 PHIBSS2               CO     2            
  447 0.0 0.0 0.503 1.9952599E10  5.01187 0.251189  -0.118194  -0.0857705 -0.203085   0.115646    0.398107  8.38914  GN3-5128          PHIBSS2               CO     2            
  449 0.0 0.0 0.509 1.99526007E11 39.8107 0.199526  0.152294   0.0195846  0.43121     0.0107663   0.1       8.34763  G3-4097           PHIBSS2               CO     2            
  450 0.0 0.0 0.509 2.51187999E10 10.0    0.398108  0.11296    0.130585   0.0392957   0.310767    0.501188  8.34763  G3-8310           PHIBSS2               CO     2            
  451 0.0 0.0 0.511 6.30958E10    7.94328 0.125892  -0.238577  -0.286961  -0.215112   -0.190856   0.0794328 8.33386  GN3-8697          PHIBSS2               CO     2            
  452 0.0 0.0 0.516 1.9952599E10  25.1189 1.25892   0.567674   0.60418    0.487204    0.805098    0.794328  8.29958  831385/COS3-21461 PHIBSS2               CO     2            
  453 0.0 0.0 0.517 1.99526007E11 15.8489 0.0794328 -0.257793  -0.386591  0.0218118   -0.395709   0.0501187 8.29275  816955            PHIBSS2               CO     2            
  454 0.0 0.0 0.52  7.9432802E10  7.94328 0.1       -0.311581  -0.3729    -0.24732    -0.298128   0.501188  8.27231  CGN4-33895        PHIBSS2               CO     2            
  456 0.0 0.0 0.529 2.51187999E10 25.1189 1.0       0.491114   0.515186   0.423649    0.694641    1.0       8.21143  811360            PHIBSS2               CO     2            
  457 0.0 0.0 0.532 5.0118701E10  3.16228 0.0630958 -0.600227  -0.624112  -0.604988   -0.507759   0.0794329 8.19128  GN4-36596         PHIBSS2               CO     2            
  459 0.0 0.0 0.544 1.25893001E11 10.0    0.0794328 -0.365301  -0.449277  -0.202174   -0.417316   0.0501187 8.11142  G4-6449           PHIBSS2               CO     2            
  460 0.0 0.0 0.556 1.25892997E10 6.30957 0.501187  0.0517928  0.131605   -0.0136068  0.373203    0.199526  8.03272  GN4-11460         PHIBSS2               CO     2            
  461 0.0 0.0 0.56  1.25893001E11 7.94328 0.0630957 -0.483998  -0.561423  -0.318969   -0.529942   0.0316228 8.00673  GN4-21683         PHIBSS2               CO     2            
  462 0.0 0.0 0.561 1.25892997E10 6.30957 0.501187  0.0468394  0.127821   -0.016734   0.369274    0.398107  8.00026  GN4-1964          PHIBSS2               CO     2            
  463 0.0 0.0 0.571 5.0118701E10  25.1189 0.501187  0.256822   0.246277   0.260602    0.361453    0.398108  7.93592  G4-6274           PHIBSS2               CO     2            
  465 0.0 0.0 0.595 6.30958E10    7.94328 0.125892  -0.332389  -0.350694  -0.292667   -0.257115   0.316228  7.78461  GN3-334           PHIBSS2               CO     2            
  466 0.0 0.0 0.606 2.51188003E11 12.5893 0.0501188 -0.527607  -0.632865  -0.175446   -0.665532   0.0630958 7.7167   828590            PHIBSS2               CO     2            
  467 0.0 0.0 0.607 7.9432802E10  12.5893 0.158489  -0.208987  -0.238606  -0.130468   -0.166294   0.251189  7.71057  820898_main       PHIBSS2               CO     2            
  469 0.0 0.0 0.616 7.9432802E10  50.1187 0.630958  0.381502   0.354741   0.46131     0.426866    0.0630958 7.65572  805007            PHIBSS2               CO     2            
  470 0.0 0.0 0.622 1.58489002E11 19.9526 0.125893  -0.21735   -0.286679  0.0083909   -0.277673   0.158489  7.61948  800405            PHIBSS2               CO     2            
  472 0.0 0.0 0.624 6.30958E10    25.1189 0.398107  0.137354   0.12785    0.181963    0.220817    0.501187  7.60746  850140            PHIBSS2               CO     2            
  476 0.0 0.0 0.637 1.58488996E10 10.0    0.630958  0.110656   0.192325   0.0673572   0.411053    0.501187  7.53     GN3-3565          PHIBSS2               CO     2            
  477 0.0 0.0 0.638 5.0118701E10  79.4328 1.58489   0.687552   0.696595   0.704422    0.810305    0.794329  7.52409  GN4-8738          PHIBSS2               CO     2            
  478 0.0 0.0 0.659 1.25893001E11 50.1187 0.398107  0.207924   0.165336   0.382354    0.194703    0.251188  7.40159  G3-10098          PHIBSS2               CO     2            
  479 0.0 0.0 0.659 1.99526007E11 15.8489 0.0794328 -0.421588  -0.492664  -0.134234   -0.505297   0.125892  7.40159  G3-169            PHIBSS2               CO     2            
  481 0.0 0.0 0.67  5.0118701E10  10.0    0.199526  -0.243646  -0.226595  -0.221186   -0.11339    0.125893  7.33861  G4-4004           PHIBSS2               CO     2            
  482 0.0 0.0 0.67  2.51188003E11 31.6228 0.125893  -0.198083  -0.279595  0.154741    -0.31339    0.125893  7.33861  G3-5038           PHIBSS2               CO     2            
  485 0.0 0.0 0.678 7.9432802E10  25.1189 0.316228  0.0186602  0.00966197 0.106457    0.0807572   0.199526  7.29331  838696/COS3-32551 PHIBSS2               CO     2            
  486 0.0 0.0 0.683 3.16227994E10 25.1189 0.794328  0.274231   0.322084   0.259084    0.477113    1.0       7.26522  GN3-12248         PHIBSS2               CO     2            
  487 0.0 0.0 0.687 3.16227994E10 7.94328 0.251189  -0.229414  -0.180773  -0.243717   -0.0257944  0.251188  7.24286  831386            PHIBSS2               CO     2            
  489 0.0 0.0 0.697 9.9999998E10  25.1189 0.251189  -0.0650159 -0.0828889 0.065478    -0.0330327  0.199526  7.18741  839268            PHIBSS2               CO     2            
  490 0.0 0.0 0.697 2.51187999E10 31.6228 1.25893   0.426861   0.491111   0.404095    0.666968    1.0       7.18741  839183/COS3-32132 PHIBSS2               CO     2            
  491 0.0 0.0 0.698 3.16227994E10 19.9526 0.630957  0.16065    0.211401   0.148633    0.366246    0.501187  7.1819   826687            PHIBSS2               CO     2            
  492 0.0 0.0 0.698 3.1622801E11  50.1187 0.158489  -0.0926209 -0.178599  0.330555    -0.233754   0.158489  7.1819   822872            PHIBSS2               CO     2            
  493 0.0 0.0 0.7   3.9810802E10  10.0    0.251188  -0.206499  -0.169017  -0.201634   -0.0351962  0.398107  7.1709   838449            PHIBSS2               CO     2            
